Image path,Category,Sub category,smile,red eyes,eyes closed,resolution,focus,face direction,brightness faces,hair,Final grade
C:/Users/User/Downloads/x\IMG_1001.JPG,0,1,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_1002.JPG,0,1,0,100,100,91,91,2,100,0,60
C:/Users/User/Downloads/x\IMG_1003.JPG,0,1,0,100,100,91,91,2,100,0,60
C:/Users/User/Downloads/x\IMG_1004.JPG,0,1,0,100,100,91,90,5,100,0,60
C:/Users/User/Downloads/x\IMG_1005.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_1007.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_1008.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_1009.JPG,0,1,0,100,100,91,91,76,100,0,71
C:/Users/User/Downloads/x\IMG_1010.JPG,0,1,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_1011.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_1012.JPG,0,1,0,100,100,91,91,2,100,0,60
C:/Users/User/Downloads/x\IMG_1013.JPG,0,1,0,100,0,91,91,100,100,0,60
C:/Users/User/Downloads/x\IMG_1014.JPG,0,1,0,100,50,91,91,2,100,0,52
